2019-10-26 08:49:16[yx129:DubboClientHandler-123.207.35.198:30020-thread-5] INFO  DubboProtocol: [DUBBO] disconected from /123.207.35.198:30020,url:dubbo://123.207.35.198:30020/com.yxw.interfaces.service.HHService?application=www.yxw129.dispatcher.com&cluster=failsafe&codec=dubbo&dubbo=1.0&heartbeat=60000&interface=com.yxw.interfaces.service.HHService&methods=cancelReg,getIpVisitors,payCurReg,ackPayOrder,getMZFeeList,payReg,takeNo,refundReg,complementDeposit,getMZFeeDetail,setFriedAndDelivered,getBedFeeitem,getMedicineQueue,getOpVisitors,getDocTime,getPatientType,getStopReg,getChargeRecord,getExamineList,getDepositList,getReplaceReg,orderCurReg,getBedRecords,getExaminationList,getInspectDetail,createCard,getRegDoctors,getRegInfo,cancelCurReg,getMZPatient,getMedOrders,getPayFeeDetail,payDeposit,ackRefundReg,getPayFeeList,getExamineDetail,settleBedFee,getMZQueue,getRegRecords,getRegDepts,getHospitals,getOutSummary,getUnpaidRegRecords,getExamineQueue,getBedFee,getInspectList,getGrossIncome,getOutMedicine,charge,getDoctors,getDepts,orderReg,refundCurReg,ackRefundCurReg,getPerBedFee&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=rc&side=consumer&timeout=3000000&timestamp=1571990868633&version=rc, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:17[yx129:DubboClientReconnectTimer-thread-1] INFO  NettyClient: [DUBBO] Close old netty channel [id: 0x5e0ed38d, /192.168.0.88:53284 :> /123.207.35.198:30020] on create new netty channel [id: 0x03077c82, /192.168.0.88:56802 => /123.207.35.198:30020], dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:17[yx129:DubboClientReconnectTimer-thread-1] INFO  AbstractClient: [DUBBO] Successed connect to server /123.207.35.198:30020 from NettyClient 192.168.0.88 using dubbo version 1.0, channel is NettyChannel [channel=[id: 0x03077c82, /192.168.0.88:56802 => /123.207.35.198:30020]], dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:dubbo-remoting-server-heartbeat-thread-1] WARN  HeartBeatTask: [DUBBO] Close channel NettyChannel [channel=[id: 0x55a75e1e, /192.168.0.88:52784 => /192.168.0.88:20003]], because heartbeat read idle time out: 180000ms, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:dubbo-remoting-server-heartbeat-thread-1] INFO  NettyChannel: [DUBBO] Close netty channel [id: 0x55a75e1e, /192.168.0.88:52784 => /192.168.0.88:20003], dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:dubbo-remoting-server-heartbeat-thread-1] WARN  HeartBeatTask: [DUBBO] Close channel NettyChannel [channel=[id: 0x78f216da, /192.168.0.88:49930 => /192.168.0.88:20003]], because heartbeat read idle time out: 180000ms, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:dubbo-remoting-server-heartbeat-thread-1] INFO  NettyChannel: [DUBBO] Close netty channel [id: 0x78f216da, /192.168.0.88:49930 => /192.168.0.88:20003], dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:dubbo-remoting-server-heartbeat-thread-1] WARN  AbstractServer: [DUBBO] All clients has discontected from /192.168.0.88:20003. You can graceful shutdown now., dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:DubboServerHandler-192.168.0.88:20003-thread-10] INFO  DubboProtocol: [DUBBO] disconected from /192.168.0.88:52784,url:dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&channel.readonly.sent=true&codec=dubbo&dubbo=1.0&dynamic=false&generic=false&heartbeat=60000&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571987003010&version=dev, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 08:49:31[yx129:DubboServerHandler-192.168.0.88:20003-thread-11] INFO  DubboProtocol: [DUBBO] disconected from /192.168.0.88:49930,url:dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&channel.readonly.sent=true&codec=dubbo&dubbo=1.0&dynamic=false&generic=false&heartbeat=60000&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571987003010&version=dev, dubbo version: 1.0, current host: 192.168.0.88
2019-10-26 09:32:33[yx129:DubboServerHandler-192.168.0.88:20003-thread-15] INFO  DubboProtocol: [DUBBO] disconected from /192.168.0.88:56908,url:dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&channel.readonly.sent=true&codec=dubbo&dubbo=1.0&dynamic=false&generic=false&heartbeat=60000&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=23096&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1571987003010&version=dev, dubbo version: 1.0, current host: 192.168.0.88
