2019-10-28 08:58:10[yx129:main] INFO  PropertiesUtils:Loading properties file from path:classpath:\config.properties
2019-10-28 08:58:11[yx129:main] INFO  LogbackContainer:using logger: logback
2019-10-28 08:58:11[yx129:main] INFO  Main:Use container type([spring]) to run dubbo serivce.
2019-10-28 08:58:12[yx129:main] INFO  ClassPathXmlApplicationContext:Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@cd4cdd5: startup date [Mon Oct 28 08:58:12 CST 2019]; root of context hierarchy
2019-10-28 08:58:13[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from class path resource [spring-framework.xml]
2019-10-28 08:58:16[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from URL [file:/D:/eclipse2019project/yxw/yxw-interfaces-dispatcher/target/classes/dubbo/dubbo-service.xml]
2019-10-28 08:58:16[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from class path resource [dubbo/consumer/service.xml]
2019-10-28 08:58:17[yx129:main] INFO  XmlBeanDefinitionReader:Loading XML bean definitions from class path resource [dubbo/provider/service.xml]
2019-10-28 08:58:17[yx129:main] INFO  YxwPropertyPlaceholderConfigurer:Loading properties file from URL [file:/D:/eclipse2019project/yxw/yxw-interfaces-dispatcher/target/classes/framework_dev.properties]
2019-10-28 08:58:17[yx129:main] INFO  AutowiredAnnotationBeanPostProcessor:JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-10-28 08:58:18[yx129:main] INFO  SpringContextHolder:注入ApplicationContext到SpringContextHolder:org.springframework.context.support.ClassPathXmlApplicationContext@cd4cdd5: startup date [Mon Oct 28 08:58:12 CST 2019]; root of context hierarchy
2019-10-28 08:58:21[yx129:main] INFO  AbstractConfig: [DUBBO] The service ready on spring started. service: com.yxw.mobileapp.invoke.OutsideInvokeService, dubbo version: 1.0, current host: 127.0.0.1
2019-10-28 08:58:21[yx129:main] INFO  AbstractConfig: [DUBBO] Export dubbo service com.yxw.mobileapp.invoke.OutsideInvokeService to local registry, dubbo version: 1.0, current host: 127.0.0.1
2019-10-28 08:58:21[yx129:main] INFO  AbstractConfig: [DUBBO] Export dubbo service com.yxw.mobileapp.invoke.OutsideInvokeService to url dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12196&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572224301330&version=dev, dubbo version: 1.0, current host: 127.0.0.1
2019-10-28 08:58:21[yx129:main] INFO  AbstractConfig: [DUBBO] Register dubbo service com.yxw.mobileapp.invoke.OutsideInvokeService url dubbo://192.168.0.88:20003/com.yxw.mobileapp.invoke.OutsideInvokeService?anyhost=true&application=www.yxw129.dispatcher.com&dubbo=1.0&dynamic=false&generic=false&interface=com.yxw.mobileapp.invoke.OutsideInvokeService&methods=openService&organization=www.yxw129.com&owner=www.yxw129.com&pid=12196&revision=dev&serialization=hessian2&server=netty&side=provider&timeout=60000&timestamp=1572224301330&version=dev to registry registry://127.0.0.1:6379/com.alibaba.dubbo.registry.RegistryService?application=www.yxw129.dispatcher.com&dubbo=1.0&organization=www.yxw129.com&owner=www.yxw129.com&password=yixiang129&pid=12196&registry=redis&timestamp=1572224301227, dubbo version: 1.0, current host: 127.0.0.1
2019-10-28 08:58:22[yx129:main] INFO  AbstractServer: [DUBBO] Start NettyServer bind /0.0.0.0:20003, export /192.168.0.88:20003, dubbo version: 1.0, current host: 127.0.0.1
